18382,dec,29,984
7001,dec,14,899
2100,dec,12,326
55011,dec,31,426
99000,dec,1,712
65432,dec,11,324
8000,dec,20,562
58542,dec,12,902
91000,dec,26,496
55011,dec,19,324
881,dec,15,482
75001,dec,10,864
55011,dec,24,890
701,dec,22,867
12500,dec,9,886
701,dec,1,756
12043,dec,29,243
1100,dec,9,513
1100,dec,22,972
91011,dec,7,60
83745,dec,23,180
402,dec,20,318
10012,dec,14,455
92,dec,20,295
205,dec,16,527
9100,dec,23,421
65432,dec,23,156
881,dec,16,995
89859,dec,24,455
99999,dec,24,232
55011,dec,7,324
8000,dec,12,111
8717,dec,14,890
12043,dec,11,496
21420,dec,26,536
82000,dec,16,788
8112,dec,12,196
400,dec,25,756
55011,dec,28,814
6100,dec,18,899
721,dec,13,517
92,dec,28,318
7100,dec,12,517
55011,dec,21,277
817,dec,5,79
83745,dec,9,532
8112,dec,15,395
6100,dec,4,864
91000,dec,19,539
400,dec,22,13
11,dec,19,984
7001,dec,7,72
81911,dec,26,337
12100,dec,14,395
8717,dec,17,238
73211,dec,20,230
82000,dec,27,13
5101,dec,9,554
5100,dec,11,230
90,dec,17,474
55011,dec,18,814
73211,dec,24,196
21420,dec,27,820
12043,dec,13,238
94394,dec,25,539
91011,dec,8,876
800,dec,2,111
90,dec,10,131
12500,dec,9,455
30,dec,8,557
9000,dec,25,814
58745,dec,29,196
12500,dec,25,864
30,dec,23,557
101,dec,25,324
11,dec,18,562
90,dec,8,557
21,dec,26,536
21420,dec,28,527
99999,dec,26,326
94394,dec,3,713
9000,dec,31,410
18382,dec,23,525
1100,dec,12,57
200,dec,31,318
800,dec,19,984
9100,dec,15,345
6100,dec,29,89
92,dec,11,820
205,dec,27,232
721,dec,27,15
30,dec,4,421
8717,dec,25,326
7100,dec,22,995
83745,dec,25,464
11,dec,18,984
8717,dec,20,410
1,dec,4,243
73211,dec,29,79
58745,dec,19,283
18382,dec,14,533
119,dec,7,902
9100,dec,12,395
101,dec,25,496
58745,dec,12,536
1,dec,15,712
721,dec,9,496
900,dec,5,15
81732,dec,17,482
12043,dec,20,712
92,dec,31,747
18121,dec,9,984
1,dec,6,864
58745,dec,16,525
73211,dec,15,437
81911,dec,13,525
8112,dec,1,690
83745,dec,16,421
8112,dec,6,288
8112,dec,26,426
65432,dec,31,713
5101,dec,9,57
11211,dec,26,236
91011,dec,24,713
205,dec,25,874
18281,dec,21,332
8112,dec,12,714
99000,dec,21,231
21420,dec,31,886
10012,dec,11,874
94394,dec,7,536
2100,dec,20,238
205,dec,14,517
89859,dec,1,231
50,dec,6,867
18281,dec,19,345
11,dec,20,231
99,dec,17,527
92,dec,13,79
1100,dec,5,984
21,dec,3,238
91000,dec,28,324
900,dec,29,899
83745,dec,3,284
800,dec,7,109
83745,dec,28,324
50,dec,28,517
30,dec,25,283
18281,dec,21,131
205,dec,21,396
881,dec,11,395
7100,dec,19,533
75,dec,31,15
75001,dec,9,747
8717,dec,17,60
55011,dec,18,587
90,dec,16,587
21420,dec,13,288
1,dec,17,156
803,dec,25,231
803,dec,5,13
99,dec,17,232
55011,dec,16,89
21,dec,17,533
817,dec,14,690
881,dec,23,874
99000,dec,18,533
205,dec,23,788
10,dec,15,196
55011,dec,10,230
89859,dec,10,867
50,dec,8,622
7100,dec,17,712
900,dec,30,899
205,dec,1,533
1100,dec,19,532
7100,dec,19,902
7100,dec,5,57
77000,dec,13,859
119,dec,1,395
8717,dec,14,196
200,dec,6,57
91011,dec,29,474
75,dec,23,283
5100,dec,11,859
21,dec,7,345
94394,dec,6,79
21420,dec,17,13
881,dec,16,288
806,dec,6,131
44721,dec,29,455
5100,dec,17,788
701,dec,27,867
83745,dec,6,917
99999,dec,1,324
701,dec,4,788
65432,dec,11,828
7100,dec,25,874
99,dec,25,410
10012,dec,29,597
18121,dec,7,238
44721,dec,12,297
21420,dec,20,867
21420,dec,21,111
21420,dec,1,890
721,dec,24,426
701,dec,16,874
73211,dec,13,562
83745,dec,14,131
10,dec,3,128
18121,dec,19,788
9000,dec,25,13
21,dec,5,232
99999,dec,14,943
75,dec,21,984
50,dec,18,131
18121,dec,2,712
806,dec,28,13
12100,dec,29,587
5121,dec,14,482
99999,dec,2,332
91011,dec,19,622
721,dec,20,513
9000,dec,2,533
5121,dec,3,788
81911,dec,3,756
95,dec,25,539
101,dec,20,867
82000,dec,31,532
6100,dec,8,886
1,dec,6,109
89859,dec,3,788
90,dec,28,57
83745,dec,7,111
10012,dec,13,13
21,dec,27,231
73211,dec,17,859
44721,dec,10,902
10012,dec,18,482
817,dec,1,517
30,dec,29,474
10012,dec,27,324
81732,dec,5,128
77000,dec,30,178
83745,dec,29,496
50,dec,15,13
10012,dec,11,788
99999,dec,29,902
1100,dec,9,288
9000,dec,6,60
18281,dec,10,972
881,dec,8,180
11,dec,16,297
806,dec,25,532
5101,dec,4,13
65432,dec,29,876
803,dec,15,332
99999,dec,11,917
12043,dec,24,109
18281,dec,16,714
92,dec,14,111
2100,dec,20,231
75001,dec,2,867
95,dec,30,874
18382,dec,30,874
12043,dec,11,284
82,dec,7,295
91011,dec,13,288
91011,dec,8,867
10012,dec,12,820
75,dec,23,713
18281,dec,19,421
12043,dec,23,288
58542,dec,26,178
99000,dec,24,933
18382,dec,29,111
402,dec,28,899
9100,dec,17,532
1,dec,27,536
82000,dec,4,231
92,dec,27,828
119,dec,9,283
92,dec,4,437
9100,dec,28,747
73211,dec,2,690
803,dec,31,714
12043,dec,17,109
5101,dec,31,517
65432,dec,2,332
75001,dec,26,441
701,dec,21,410
881,dec,11,231
30,dec,7,890
402,dec,11,500
99999,dec,6,744
803,dec,26,713
900,dec,9,500
6100,dec,21,532
9100,dec,23,513
83745,dec,14,933
817,dec,6,597
18382,dec,16,972
7001,dec,17,933
8000,dec,25,324
58745,dec,21,500
1100,dec,11,712
9100,dec,29,496
5100,dec,12,232
806,dec,21,455
44721,dec,2,326
75,dec,3,441
10012,dec,18,995
11211,dec,18,902
900,dec,13,533
81732,dec,2,562
73211,dec,3,57
21420,dec,23,984
12043,dec,28,811
21,dec,2,295
73211,dec,14,232
5121,dec,13,943
800,dec,15,859
205,dec,18,820
7100,dec,14,57
99999,dec,9,525
12500,dec,14,562
803,dec,29,60
65432,dec,29,152
1100,dec,26,196
81732,dec,1,714
18281,dec,5,288
803,dec,13,513
8717,dec,11,421
10012,dec,17,972
200,dec,29,57
701,dec,13,243
9000,dec,30,283
89859,dec,2,232
30,dec,4,647
200,dec,26,539
99999,dec,19,828
50,dec,27,410
